Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF547	ENST00000282282.3	zinc finger protein 547 	58	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0430	0.2907	1.4474	-1.41	-2.49	0.85	2007, 2009, 2011
MAP3K11	ENST00000309100.3	mitogen-activated protein kinase kinase kinase 11 	339	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0985	0.5458	1.5334	-1.03	-1.03	0.99	2003, 2005, 2007, 2009, 2011
LIN7C	ENST00000278193.2	lin-7 homolog C (C. elegans) 	1701	3	2	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0941	0.5605	1.9164	-1.02	-1.11	0.96	2005, 2007, 2009, 2011
PVRL2	ENST00000252485.4	poliovirus receptor-related 2 (herpesvirus entry mediator B) 	494	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0234	0.1612	0.8043	-0.93	-0.93	0.78	2011
ZNF561	ENST00000326044.5	zinc finger protein 561 	156	3	2	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0329	0.2244	1.0804	-0.92	-0.92	< 0.1	NULL
DDR1	ENST00000446312.1	discoidin domain receptor tyrosine kinase 1 	195	3	3	0	0	1	0	0	1	3	hsa-miR-199a-5p	0.0649	0.4207	1.6783	-0.91	-0.91	0.89	2011
RP11-1396O13.13	ENST00000508324.1	Uncharacterized protein  	5	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0254	0.1658	0.6800	-0.85	-0.85	0.53	NULL
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	1	1	0	0	4	0	3	1	0	hsa-miR-199a-5p	0.0224	0.1614	1.0113	-0.85	-0.85	< 0.1	NULL
BCAM	ENST00000270233.6	basal cell adhesion molecule (Lutheran blood group) 	4647	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0737	0.3938	1.0666	-0.84	-0.84	0.99	2011
SHOC2	ENST00000369452.4	soc-2 suppressor of clear homolog (C. elegans) 	437	2	0	0	2	0	0	0	0	3	hsa-miR-199a-5p	0.0476	0.3131	1.3872	-0.82	-0.90	0.96	NULL
HAPLN1	ENST00000274341.4	hyaluronan and proteoglycan link protein 1 	5	1	1	0	0	3	0	3	0	0	hsa-miR-199b-5p	0.1451	0.7855	2.3043	-0.81	-0.81	0.78	2011
ZFP2	ENST00000361362.2	ZFP2 zinc finger protein 	9	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0207	0.1437	0.7748	-0.81	-0.81	0.28	2009, 2011
TST	ENST00000403892.3	thiosulfate sulfurtransferase (rhodanese) 	61	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0552	0.2977	0.7602	-0.80	-0.91	0.48	2009, 2011
MYRF	ENST00000278836.5	myelin regulatory factor 	131	3	3	0	0	0	0	0	0	3	hsa-miR-199a-5p	0.1018	0.6257	2.1671	-0.76	-0.76	> 0.99	2005, 2007, 2009, 2011
CELSR1	ENST00000262738.3	cadherin, EGF LAG seven-pass G-type receptor 1 	1359	2	2	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.1629	0.7904	1.7618	-0.76	-0.78	> 0.99	2005, 2007, 2009, 2011
GPR63	ENST00000229955.3	G protein-coupled receptor 63 	5	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.1016	0.5749	1.6224	-0.75	-0.75	0.81	NULL
CDCA7L	ENST00000356195.5	cell division cycle associated 7-like 	292	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0203	0.1368	0.6254	-0.75	-0.75	0.71	2007, 2009, 2011
NSG1	ENST00000421177.2	Neuron-specific protein family member 1  	25	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0793	0.3894	0.8324	-0.74	-0.74	0.73	2009, 2011
RAD23B	ENST00000358015.3	RAD23 homolog B (S. cerevisiae) 	1012	2	1	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0562	0.3404	1.1575	-0.74	-0.74	0.98	2005, 2007, 2009, 2011
ZBTB42	ENST00000342537.7	zinc finger and BTB domain containing 42 	182	1	1	0	0	1	1	0	0	2	hsa-miR-199a-5p	0.0833	0.4449	1.2914	-0.73	-0.80	0.90	2011
CRYBG3	ENST00000389622.2	beta-gamma crystallin domain containing 3 	46	1	1	0	0	1	0	1	0	0	hsa-miR-199b-5p	0.0400	0.2425	0.8214	-0.73	-0.73	0.88	2009
RBM47	ENST00000319592.4	RNA binding motif protein 47 	264	1	1	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0780	0.4760	1.6607	-0.71	-0.73	0.39	2005, 2007, 2009, 2011
PDPN	ENST00000294489.6	podoplanin 	264	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0359	0.2255	0.8594	-0.70	-0.96	0.92	2009, 2011
HMCN1	ENST00000367492.2	hemicentin 1 	7	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0521	0.3392	1.5553	-0.69	-0.69	0.71	2007, 2009, 2011
MGAT4B	ENST00000337755.5	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B 	533	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0554	0.3065	0.8232	-0.68	-0.68	0.89	2005, 2007, 2009, 2011
MAB21L1	ENST00000379919.4	mab-21-like 1 (C. elegans) 	25	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0765	0.3800	0.8216	-0.68	-0.68	0.89	2005, 2007, 2009, 2011
FP15737	ENST00000399967.3		67	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0504	0.2886	0.8723	-0.67	-0.73	0.93	NULL
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	1	0	1	0	0	0	0	2	hsa-miR-199a-5p	0.0573	0.3627	1.4954	-0.67	-0.83	0.80	2011
RP11-122A3.2	ENST00000517562.2	uncharacterized protein LOC100127983  	579	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0745	0.3729	0.8146	-0.67	-0.67	0.60	2011
ARHGAP21	ENST00000396432.2	Rho GTPase activating protein 21 	10	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0906	0.4353	0.9764	-0.66	-0.66	0.89	2005, 2007, 2009, 2011
ZNF225	ENST00000592780.1	zinc finger protein 225 	100	3	2	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0145	0.1041	0.6331	-0.66	-0.72	< 0.1	NULL
TSPAN6	ENST00000373020.4	tetraspanin 6 	885	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0955	0.4399	0.8699	-0.65	-0.67	0.93	2007, 2009, 2011
ECE1	ENST00000415912.2	endothelin converting enzyme 1 	1166	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0662	0.3615	1.0233	-0.63	-0.63	0.94	2009, 2011
SULF1	ENST00000458141.2	sulfatase 1 	11	2	1	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0551	0.3496	1.4086	-0.63	-0.63	0.90	2007, 2009, 2011
GCNT2	ENST00000316170.3	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group) 	651	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0694	0.3723	1.0102	-0.63	-0.63	0.93	2005, 2007, 2009, 2011
AKAP1	ENST00000337714.3	A kinase (PRKA) anchor protein 1 	843	1	1	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0560	0.3141	0.8980	-0.62	-0.64	0.93	2005, 2007, 2009, 2011
FAM222B	ENST00000582266.1	family with sequence similarity 222, member B 	100	1	0	1	0	1	0	1	0	1	hsa-miR-199a-5p	0.0259	0.1818	0.9936	-0.62	-0.74	0.57	2007, 2009, 2011
ALS2	ENST00000457679.2	amyotrophic lateral sclerosis 2 (juvenile) 	206	1	1	0	0	2	0	1	1	1	hsa-miR-199b-5p	0.0658	0.4049	1.5978	-0.61	-0.64	0.38	2005, 2007, 2009, 2011
GPR89B	ENST00000314163.7	G protein-coupled receptor 89B 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0476	0.2751	0.8180	-0.61	-0.61	0.51	2011
MAGT1	ENST00000358075.6	magnesium transporter 1 	937	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0336	0.2053	0.6682	-0.60	-0.60	0.58	2011
SLC24A3	ENST00000328041.6	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3 	63	2	1	1	0	0	0	0	0	4	hsa-miR-199a-5p	0.0391	0.2632	1.2186	-0.60	-0.60	0.89	2007, 2009, 2011
ZNF846	ENST00000586293.1	zinc finger protein 846 	10	2	2	0	0	2	2	0	0	0	hsa-miR-199a-5p	0.0132	0.0937	0.5299	-0.59	-1.75	< 0.1	NULL
B3GNT1	ENST00000311181.4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	2688	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0528	0.2917	0.7527	-0.59	-0.59	0.80	2007, 2009, 2011
TGFB2	ENST00000366930.4	transforming growth factor, beta 2 	157	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.1046	0.4665	0.8985	-0.58	-0.61	0.93	2011
ZNF329	ENST00000598312.1	zinc finger protein 329 	163	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0557	0.3293	1.1097	-0.58	-0.58	0.84	2009, 2011
EPB41L1	ENST00000441639.1	erythrocyte membrane protein band 4.1-like 1 	369	2	1	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0614	0.3565	1.1453	-0.58	-0.58	0.92	2005, 2007, 2009, 2011
ZNF233	ENST00000592581.1	zinc finger protein 233 	6	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0152	0.1078	0.6095	-0.58	-0.58	< 0.1	NULL
VPS26A	ENST00000395098.1	vacuolar protein sorting 26 homolog A (S. pombe) 	127	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0498	0.2790	0.7409	-0.57	-0.57	0.88	2007, 2009, 2011
FLRT3	ENST00000378053.3	fibronectin leucine rich transmembrane protein 3 	11	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0987	0.4722	1.0859	-0.57	-0.57	0.93	2005, 2007, 2009, 2011
CCDC43	ENST00000457422.2	coiled-coil domain containing 43 	36	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0915	0.4287	0.8714	-0.57	-0.57	0.69	2007, 2009, 2011
GJA5	ENST00000271348.2	gap junction protein, alpha 5, 40kDa 	5	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0638	0.3608	1.0921	-0.57	-0.57	0.32	2011
PODXL	ENST00000541194.1	podocalyxin-like 	2928	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0851	0.4333	1.1521	-0.57	-0.58	0.94	2005, 2007, 2009, 2011
FZD6	ENST00000358755.4	frizzled family receptor 6 	161	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0810	0.4356	1.2585	-0.56	-0.56	0.90	2005, 2007, 2009, 2011
ANGEL2	ENST00000535388.1	angel homolog 2 (Drosophila) 	218	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0235	0.1592	0.7604	-0.56	-0.56	< 0.1	NULL
ARF6	ENST00000298316.5	ADP-ribosylation factor 6 	31	1	1	0	0	1	0	1	0	0	hsa-miR-199b-5p	0.0613	0.3555	1.1841	-0.55	-0.69	0.43	2011
PPP1R2	ENST00000328432.3	protein phosphatase 1, regulatory (inhibitor) subunit 2 	8	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0530	0.3126	1.0313	-0.55	-0.55	0.80	2005, 2007, 2009, 2011
FAM107B	ENST00000378470.1	family with sequence similarity 107, member B 	403	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0376	0.2243	0.6853	-0.55	-0.55	0.91	2009, 2011
ACPT	ENST00000270593.1	acid phosphatase, testicular 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0058	0.0414	0.2419	-0.55	-0.55	0.30	NULL
ARHGAP12	ENST00000311380.4	Rho GTPase activating protein 12 	190	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.1031	0.4866	1.1464	-0.55	-0.55	0.87	2005, 2007, 2009, 2011
TAF9B	ENST00000341864.5	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa 	19	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0332	0.2031	0.6629	-0.55	-0.55	0.79	2007, 2009, 2011
GPR89A	ENST00000313835.9	G protein-coupled receptor 89A 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0461	0.2686	0.8111	-0.54	-0.54	0.44	2009, 2011
RASSF2	ENST00000379400.3	Ras association (RalGDS/AF-6) domain family member 2 	88	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.1142	0.5073	1.0731	-0.54	-0.54	0.89	2005, 2007, 2009, 2011
TMEM66	ENST00000256255.6	transmembrane protein 66 	310	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0275	0.1727	0.6067	-0.54	-0.54	< 0.1	2009, 2011
METTL21A	ENST00000448823.2	methyltransferase like 21A 	224	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0096	0.0666	0.3459	-0.54	-0.54	< 0.1	NULL
UBL3	ENST00000380680.4	ubiquitin-like 3 	431	1	1	0	0	0	0	0	0	2	hsa-miR-199b-5p	0.0182	0.1266	0.6708	-0.53	-0.53	0.34	2009, 2011
GPR89C	ENST00000447947.2	G protein-coupled receptor 89C 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0442	0.2549	0.7165	-0.53	-0.53	0.48	2011
ABHD17C	ENST00000258884.4	abhydrolase domain containing 17C 	406	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0512	0.2990	1.0168	-0.53	-0.61	0.85	2009, 2011
ASRGL1	ENST00000415229.2	asparaginase like 1 	20	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0269	0.1719	0.6489	-0.52	-0.52	0.21	2009, 2011
SLC25A23	ENST00000301454.4	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 	5	1	0	0	1	8	0	2	6	1	hsa-miR-199a-5p	0.0305	0.2201	1.3797	-0.52	-0.52	0.92	2011
CCNJ	ENST00000265992.5	cyclin J 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0751	0.3776	0.8506	-0.51	-0.51	0.92	2005, 2007, 2009, 2011
LEPREL1	ENST00000319332.5	leprecan-like 1 	875	1	1	0	0	1	1	0	0	0	hsa-miR-199b-5p	0.0636	0.3382	0.8883	-0.51	-0.57	0.71	2009, 2011
SUN1	ENST00000456758.2	Sad1 and UNC84 domain containing 1 	376	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.1116	0.5065	1.1255	-0.51	-0.51	0.93	2005, 2007, 2009, 2011
SOS2	ENST00000216373.5	son of sevenless homolog 2 (Drosophila) 	70	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0750	0.3765	0.8396	-0.51	-0.51	0.87	2009, 2011
C1GALT1	ENST00000223122.3	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 	44	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0707	0.3672	0.9002	-0.50	-0.50	0.74	2009, 2011
RAB9B	ENST00000243298.2	RAB9B, member RAS oncogene family 	21	2	0	2	0	1	0	0	1	0	hsa-miR-199b-5p	0.0221	0.1571	0.9089	-0.50	-0.50	0.55	2011
MARCH8	ENST00000453424.2	membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase 	48	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0494	0.3222	1.3619	-0.50	-0.51	0.94	NULL
NINL	ENST00000278886.6	ninein-like 	121	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0424	0.2472	0.7161	-0.49	-0.49	0.91	2007, 2009, 2011
CACUL1	ENST00000369151.3	CDK2-associated, cullin domain 1 	213	1	1	0	0	3	0	1	2	1	hsa-miR-199a-5p	0.0351	0.2367	1.0994	-0.49	-0.76	0.94	2005, 2007, 2009, 2011
ZNF579	ENST00000325421.4	zinc finger protein 579 	1080	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0261	0.1651	0.5938	-0.49	-0.49	0.93	2005, 2007, 2009, 2011
BICC1	ENST00000373886.3	bicaudal C homolog 1 (Drosophila) 	165	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.1385	0.5545	1.0128	-0.48	-0.48	0.82	NULL
UNG	ENST00000242576.2	uracil-DNA glycosylase 	2812	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0230	0.1494	0.5914	-0.48	-0.48	0.48	2011
NAA40	ENST00000377793.4	N(alpha)-acetyltransferase 40, NatD catalytic subunit 	217	2	1	0	1	2	0	1	1	0	hsa-miR-199a-5p	0.0698	0.3826	1.1698	-0.48	-0.76	0.98	2007, 2009, 2011
RGMA	ENST00000557420.1	RGM domain family, member A 	145	1	0	1	0	2	0	2	0	0	hsa-miR-199a-5p	0.0119	0.0855	0.5163	-0.48	-0.49	0.43	2005, 2007, 2009, 2011
GRB10	ENST00000398812.2	growth factor receptor-bound protein 10 	1382	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0461	0.2846	1.0414	-0.47	-0.47	0.55	2005, 2007, 2009, 2011
FAM188A	ENST00000378036.1	family with sequence similarity 188, member A 	326	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0468	0.2653	0.7285	-0.46	-0.48	0.73	2009, 2011
ZNF528	ENST00000391788.2	zinc finger protein 528 	15	1	1	0	0	2	0	1	1	0	hsa-miR-199a-5p	0.0202	0.1438	0.8523	-0.46	-0.47	< 0.1	NULL
CCNL1	ENST00000295926.3	cyclin L1 	161	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0553	0.3116	0.9287	-0.46	-0.48	> 0.99	2005, 2007, 2009, 2011
GNG5	ENST00000370645.4	guanine nucleotide binding protein (G protein), gamma 5 	3132	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0130	0.0887	0.4202	-0.46	-0.46	0.36	NULL
RALGAPA1	ENST00000389698.3	Ral GTPase activating protein, alpha subunit 1 (catalytic) 	82	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0984	0.4634	1.0445	-0.45	-0.46	0.82	2005, 2007, 2009, 2011
ZFYVE27	ENST00000453958.2	zinc finger, FYVE domain containing 27 	565	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0304	0.1894	0.6653	-0.45	-0.46	0.82	2009, 2011
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	1	0	0	1	1	0	0	1	hsa-miR-199b-5p	0.0603	0.3848	1.4928	-0.45	-0.45	0.49	NULL
LYSMD3	ENST00000509384.1	LysM, putative peptidoglycan-binding, domain containing 3 	92	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0672	0.3415	0.7629	-0.44	-0.47	0.68	2009, 2011
SNAI1	ENST00000244050.2	snail family zinc finger 1 	486	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0435	0.2557	0.7815	-0.44	-0.44	0.87	2009, 2011
DPP8	ENST00000341861.5	dipeptidyl-peptidase 8 	1293	2	1	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0251	0.1720	0.8522	-0.44	-0.56	0.66	2011
NTNG1	ENST00000370067.1	netrin G1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0529	0.2968	0.8242	-0.44	-0.44	0.75	2005, 2007, 2009, 2011
AP1G1	ENST00000299980.4	adaptor-related protein complex 1, gamma 1 subunit 	436	2	1	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0416	0.2667	1.0923	-0.44	-0.44	0.71	2003, 2005, 2007, 2009, 2011
GPRC5A	ENST00000014914.5	G protein-coupled receptor, family C, group 5, member A 	341	1	1	0	0	1	0	1	0	1	hsa-miR-199a-5p	0.0625	0.3314	0.8033	-0.43	-0.50	0.90	2007, 2009, 2011
HSPA5	ENST00000324460.6	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) 	2715	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0337	0.2113	0.7762	-0.43	-0.45	> 0.99	2005, 2007, 2009, 2011
CACNB2	ENST00000396576.2	calcium channel, voltage-dependent, beta 2 subunit 	52	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0255	0.1759	0.8955	-0.43	-0.43	0.62	2005, 2007, 2009, 2011
PPP1R9A	ENST00000289495.5	protein phosphatase 1, regulatory subunit 9A 	46	1	1	0	0	2	1	1	0	0	hsa-miR-199a-5p	0.0474	0.3168	1.4911	-0.43	-0.55	0.78	2007, 2009, 2011
MYEF2	ENST00000324324.7	myelin expression factor 2 	358	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0672	0.3484	0.8154	-0.42	-0.43	0.84	2005, 2007, 2011
CCDC120	ENST00000376396.3	coiled-coil domain containing 120 	170	2	1	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0283	0.1821	0.7237	-0.42	-0.42	0.91	2007, 2009, 2011
FZD4	ENST00000531380.1	frizzled family receptor 4 	5	1	1	0	0	3	1	0	2	0	hsa-miR-199a-5p	0.1061	0.5191	1.3756	-0.42	-0.42	0.93	2005, 2007, 2009, 2011
SRRM1	ENST00000323848.9	serine/arginine repetitive matrix 1 	7	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0279	0.1758	0.6342	-0.42	-0.42	0.86	2009, 2011
PPARGC1A	ENST00000264867.2	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha 	19	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0680	0.3614	0.9361	-0.41	-0.44	0.68	2005, 2007, 2009, 2011
CLTC	ENST00000269122.3	clathrin, heavy chain (Hc) 	10702	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0321	0.2155	0.9961	-0.41	-0.41	0.22	2009, 2011
CDKN2AIP	ENST00000302350.4	CDKN2A interacting protein 	2313	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0223	0.1457	0.5877	-0.41	-0.41	< 0.1	NULL
CSGALNACT1	ENST00000454498.2	chondroitin sulfate N-acetylgalactosaminyltransferase 1 	77	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0421	0.2472	0.7391	-0.41	-0.41	0.62	2009, 2011
EVX2	ENST00000308618.4	even-skipped homeobox 2 	9	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0464	0.2653	0.7422	-0.41	-0.41	0.84	NULL
WNT2	ENST00000265441.3	wingless-type MMTV integration site family member 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0140	0.0954	0.4513	-0.41	-0.41	0.59	2009, 2011
MICAL3	ENST00000441493.2	microtubule associated monooxygenase, calponin and LIM domain containing 3 	58	2	2	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.1006	0.5521	1.6759	-0.41	-0.41	> 0.99	2009, 2011
BAAT	ENST00000259407.2	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase) 	5	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0214	0.1505	0.8282	-0.41	-0.41	0.43	2005, 2007, 2009
IL23R	ENST00000371002.1	interleukin 23 receptor 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0189	0.1252	0.5341	-0.41	-0.41	< 0.1	NULL
GRIP1	ENST00000398016.3	glutamate receptor interacting protein 1 	28	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0216	0.1460	0.6938	-0.40	-0.40	0.21	NULL
IPO8	ENST00000256079.4	importin 8 	228	1	1	0	0	1	0	0	1	1	hsa-miR-199b-5p	0.0218	0.1517	0.8147	-0.40	-0.41	0.36	2009, 2011
ABCC1	ENST00000399408.2	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	441	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0473	0.2719	0.8092	-0.40	-0.42	0.93	2009, 2011
SACS	ENST00000402364.1	spastic ataxia of Charlevoix-Saguenay (sacsin) 	450	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0433	0.2639	0.9375	-0.40	-0.40	0.45	2005, 2007, 2009, 2011
